Number1	Number2	Number3
 880   82  696
  988  326  760
  898  132  100
  990  220  518
  286  840  858
  294  432  280
  310  728  892
  892  472  384
  454  622  828
  894  148  766
  724  570  908
  320  214  340
  918  144  762
  830  704  222
  132  588  632
  950  668  552
  666  828  352
  266  972  562
  554  708  118
  440  896  696
  362  886  608
  690  506  602
  996  598  142
  868  938  656
  904  208  514
  728   84  788
  636   62  262
  508  642  788
  214  648  384
  212  926  110
  754  720  648
  312  380  716
  618  800  952
  252  442  632
  568  496  542
  470  500  566
  178  374  648
  920   30  356
  680  408  478
  354  672  112
   90  120  692
  692   86  724
  144  108  270
  324  126    2
  146  810  432
  896  870  144
  534  714  334
  654   72  280
  142  292  282
   14  748  646
  580  110   78
  396  616  138
  440   68  744
  592  562  934
   26  752   76
  792  478  240
  792  902  174
  262  782  992
  434  274  470
  838  250  252
  226  142  146
  930  540  998
  212  612  484
  600  184  636
    2  912  884
  856  790  306
  162  252  502
  426   20  870
  816  218  148
   34  132  816
  736  680  966
  532  576  664
  434  742  910
  132   56  550
  686  560  632
  118  860  450
  362  564  164
  542  572  578
  832  452  656
  962  144  578
  612  324  530
  326   94  130
  508  716  942
  272  212  704
  858  816  452
  582  842  518
  120  880  812
  898  196  780
  424  498   96
  124  476  412
  906  650  412
  358  174  768
   46  614  510
   56  388  928
  658  102  294
  236  582  224
  976  844  984
  534  960  926
  376  984  852
  128  786  440
